,decade,artist,song,track id,release date,song length (ms),explicit,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time signature,valence
0,1900-1909,Frédéric Chopin,"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35: III. Marche Funèbre",4tDa5P1so01pdVc5Ywl6Or,1900,597960,False,45,0.993,0.385,0.00189,0.919,1,0.0955,-28.565,1,0.0487,93.131,4,0.153
1,1900-1909,Peter Gabriel,Sledgehammer,3wLZ69kr5J2sb934Kpv02c,1900,295653,False,44,0.0351,0.65,0.62,0.0,8,0.153,-8.146,1,0.0293,96.392,4,0.626
2,1900-1909,Henry Purcell,"Purcell / Arr. Pluhar: Oedipus, Z. 583: No. 2, Song. ""Music for a While""",2UK3kMSQc8fMTCjEykifQ7,1900,354333,False,44,0.963,0.364,0.0453,0.0378,5,0.0989,-23.319,0,0.0377,136.925,4,0.12
3,1900-1909,Horkýže Slíže,A ja sprostá,1tRUTDC96dxQv8truEHmmM,1900,177960,True,42,0.0378,0.617,0.947,2.03e-05,9,0.285,-3.032,1,0.0503,142.063,4,0.755
4,1900-1909,Los Carrangueros De Ráquira,La China Que Yo Tenia,5q5YkZJxosN5pPCU42TKo3,1905-06-02,267258,False,42,0.732,0.718,0.396,0.0,5,0.0562,-10.663,1,0.0449,122.778,4,0.961
5,1900-1909,Roy Brown,Mighty Mighty Man,5tBDBrsPypLVJ9Rbpy3MNm,1900-01-30,143230,False,42,0.824,0.574,0.374,0.0,0,0.581,-15.127,0,0.0392,106.456,4,0.82
6,1900-1909,Royal Bliss,I Was Drunk,1SbSX9AWecOf7v0CFTHZ4Q,1900,243840,False,41,0.003,0.206,0.462,0.0,1,0.313,-9.165,1,0.0304,187.51,3,0.261
7,1900-1909,Los Carrangueros De Ráquira,La Cucharita,2EP7binVbGE0KS15sQ62cn,1905-06-02,239516,False,40,0.838,0.53,0.592,0.0,7,0.0638,-7.485,1,0.0397,112.866,4,0.885
8,1900-1909,ABSOLUT TIROL,Rosi Polka,2GTzHDJxwvHWEL9TYD8NCx,1905-06-10,186026,False,38,0.265,0.904,0.926,0.864,5,0.0696,-2.82,1,0.0437,125.09,4,0.964
9,1900-1909,La Decada Prodigiosa,Una Fiesta Especial (Remix),0iJkGv6xNDKjMyBlcC2OQN,1900,352426,False,38,0.00634,0.576,0.952,0.0438,10,0.351,-7.595,1,0.0409,136.806,4,0.879
10,1900-1909,Peter Gabriel,Mercy Street,20tRwxVyguyMwijkNtH8oP,1900,283373,False,37,0.473,0.534,0.192,5.08e-06,1,0.0805,-20.742,0,0.0358,92.712,4,0.0431
11,1900-1909,Los Carrangueros De Ráquira,"Julia, Julia, Julia",6GZ7jvFhufw8B5hq9TEkd4,1905-06-02,226063,False,37,0.831,0.737,0.385,7.48e-05,7,0.0844,-9.929,1,0.0415,122.862,4,0.912
12,1900-1909,Henry Purcell,"Purcell / Arr. Pluhar: Come Ye Sons of Art, Z. 323 ""Ode for Queen Mary's Birthday"": No. 5, Ritornello. ""Strike the Viol""",0smlyUooUKdzU8WBrG7TZE,1900,237506,False,37,0.945,0.543,0.335,0.284,7,0.092,-16.074,0,0.0563,125.854,3,0.77
13,1900-1909,La Decada Prodigiosa,Mejor - Medley,3OjpZK0nMB9yeDG2vJy4dG,1900,309800,False,36,0.141,0.656,0.851,0.00192,10,0.208,-8.202,1,0.0358,140.774,4,0.961
14,1900-1909,C.R.O,Domingo,7otnnKiENAGIhtUSO3s7aU,1900-01-01,208677,False,36,0.7,0.741,0.366,0.413,4,0.0663,-12.418,0,0.366,77.977,4,0.478
15,1900-1909,Fer Palacio,Cuando te veox,4skjZZo16hfFzziZMXY9aw,1900-01-01,129612,False,36,0.0996,0.845,0.704,0.00221,7,0.159,-7.3,1,0.0866,100.026,4,0.678
16,1900-1909,El Consorcio,El Chacacha Del Tren,11xkwJxQka0XJlcyjeBydD,1900,133773,False,36,0.68,0.767,0.62,0.0,0,0.291,-8.79,1,0.0515,129.257,4,0.961
17,1900-1909,Nilsen Brothers,Aber dich gibt's nur einmal für mich,1YmIzhzYHuHvfvUR87aOpu,1905-06-10,228533,False,36,0.7,0.412,0.48,0.0,4,0.155,-4.547,1,0.0345,185.909,3,0.233
18,1900-1909,Peter Gabriel,Shaking The Tree,5XZVeiIA5zPA2VLDFAjvLn,1900,384493,False,35,0.0364,0.655,0.543,0.00093,1,0.0602,-10.884,1,0.0353,81.006,4,0.694
19,1900-1909,A.C. Reed,She's Fine,1GUvbwCftGCU9HTeg1DPAW,1908-08-01,258226,False,35,0.202,0.501,0.44,0.00145,9,0.107,-14.466,1,0.0372,82.489,4,0.868
